       NUEVO PEDIDO        
TICKET    CANTIDAD ARTICULO
B00628781        2 TORTA DE PIERNA EMPACADA AL VACIO
B00628792        1 TORTA DIABLONA EMPACADA AL VACIO
B00628819        1 TORTA DIABLONA EMPACADA AL VACIO
B00628819        1 TORTA DE ARRACHERA EMPACADA AL VACIO
B00628822        1 TORTA DE PIERNA EMPACADA AL VACIO
B00628822        2 TORTA DE ARRACHERA EMPACADA AL VACIO
B00628844        2 TORTA DE PIERNA EMPACADA AL VACIO
B00628864        3 TORTA DE PIERNA EMPACADA AL VACIO
B00628894        1 TORTA DIABLONA EMPACADA AL VACIO
B00628894        1 TORTA DE PIERNA EMPACADA AL VACIO
B00628896        5 TORTA DE PIERNA EMPACADA AL VACIO
B00628896        2 TORTA DE ADOBADA EMPACADA AL VACIO
